x	y	z	Ex	Ey	Ez	Jx	Jy	Jz	U
-20	-20	5	0.00078012427	0.00077607343	1.3312502e-05	7.8012427e-06	7.7607343e-06	1.3312502e-07	0.031707698
-20	-18	5	0.0007834711	0.00077409926	1.4061424e-05	7.834711e-06	7.7409926e-06	1.4061424e-07	0.030155535
-20	-16	5	0.0007866521	0.00077099152	1.3371893e-05	7.866521e-06	7.7099152e-06	1.3371893e-07	0.028611935
-20	-14	5	0.00078966583	0.00076758303	1.2456424e-05	7.8966583e-06	7.6758303e-06	1.2456424e-07	0.027071722
-20	-12	5	0.00079171578	0.0007651005	1.5072691e-05	7.9171578e-06	7.651005e-06	1.5072691e-07	0.025536615
-20	-10	5	0.00079126338	0.00076275536	1.4403184e-05	7.9126338e-06	7.6275536e-06	1.4403184e-07	0.024008782
-20	-8	5	0.00078567795	0.00075793192	1.0825432e-05	7.8567795e-06	7.5793192e-06	1.0825432e-07	0.022492075
-20	-6	5	0.00078759548	0.00076212459	2.0345867e-05	7.8759548e-06	7.6212459e-06	2.0345867e-07	0.020972957
-20	-4	5	0.00078577943	0.00077140137	1.7524444e-05	7.8577943e-06	7.7140137e-06	1.7524444e-07	0.019438068
-20	-2	5	0.0007694163	0.00078441117	2.5203835e-05	7.694163e-06	7.8441117e-06	2.5203835e-07	0.017883679
-20	0	5	0.00077978482	0.00081110439	1.8969566e-05	7.7978482e-06	8.1110439e-06	1.8969566e-07	0.016292146
-20	2	5	0.00079844702	0.00083480363	1.1257949e-05	7.9844702e-06	8.3480363e-06	1.1257949e-07	0.014649693
-20	4	5	0.00082518654	0.00081679033	9.027978e-06	8.2518654e-06	8.1679033e-06	9.027978e-08	0.012994005
-20	6	5	0.00083998916	0.00081707415	2.3260831e-06	8.3998916e-06	8.1707415e-06	2.3260831e-08	0.011358129
-20	8	5	0.00083622952	0.00080982235	3.657042e-06	8.3622952e-06	8.0982235e-06	3.657042e-08	0.0097344058
-20	10	5	0.00083840653	0.00080915547	3.1715844e-06	8.3840653e-06	8.0915547e-06	3.1715844e-08	0.0081164163
-20	12	5	0.0008385178	0.00081045173	1.6897051e-06	8.385178e-06	8.1045173e-06	1.6897051e-08	0.006498595
-20	14	5	0.00083732626	0.0008130279	2.4596074e-07	8.3732626e-06	8.130279e-06	2.4596074e-09	0.0048759053
-20	16	5	0.00083708797	0.00081824522	-3.1805197e-07	8.3708797e-06	8.1824522e-06	-3.1805197e-09	0.0032451889
-20	18	5	0.00083678386	0.00082395692	-7.0791151e-07	8.3678386e-06	8.2395692e-06	-7.0791151e-09	0.0016028511
-20	20	5	0.00083521521	0.00083033013	-1.0436588e-06	8.3521521e-06	8.3033013e-06	-1.0436588e-08	-5.1102739e-05
-18	-20	5	0.00077733538	0.00078103596	1.3210277e-05	7.7733538e-06	7.8103596e-06	1.3210277e-07	0.030150203
-18	-18	5	0.00078122504	0.00077876105	1.3297465e-05	7.8122504e-06	7.7876105e-06	1.3297465e-07	0.028591011
-18	-16	5	0.00078523568	0.00077398374	1.3012056e-05	7.8523568e-06	7.7398374e-06	1.3012056e-07	0.027039759
-18	-14	5	0.00078878543	0.0007719518	1.5236439e-05	7.8878543e-06	7.719518e-06	1.5236439e-07	0.025493394
-18	-12	5	0.00079105325	0.00076688499	1.6416621e-05	7.9105325e-06	7.6688499e-06	1.6416621e-07	0.023954784
-18	-10	5	0.00079038375	0.00076306891	1.3271359e-05	7.9038375e-06	7.6306891e-06	1.3271359e-07	0.022425732
-18	-8	5	0.00079008067	0.00075435768	1.8128412e-05	7.9008067e-06	7.5435768e-06	1.8128412e-07	0.020911607
-18	-6	5	0.0007700113	0.00073943125	2.8606729e-05	7.700113e-06	7.3943125e-06	2.8606729e-07	0.019420072
-18	-4	5	0.00073349935	0.00073995717	1.4197094e-05	7.3349935e-06	7.3995717e-06	1.4197094e-07	0.017933272
-18	-2	5	0.00062959348	0.00080390524	3.0911489e-05	6.2959348e-06	8.0390524e-06	3.0911489e-07	0.016427779
-18	0	5	0.00068483744	0.0008340198	-1.8293598e-07	6.8483744e-06	8.340198e-06	-1.8293598e-09	0.014833522
